candidate,status,converged,eligible,rows,weight,actual,expected,ae_ratio,mean_loss,error,loss_difference_lower,loss_difference_upper
frequency_severity,scored,true,true,169504,89725.25415001123,19291839.89,13510807.488749787,1.427882079295703,87.61733818758327,,0.0,0.0
tweedie,scored,true,true,169504,89725.25415001123,19291839.89,13597670.941696731,1.418760607806909,87.79046371259587,,0.02149729555193674,0.38351278901763425
glum_tweedie,scored,true,true,169504,89725.25415001123,19291839.89,13597670.941689244,1.4187606078076904,87.79046371267488,,0.02149729555329262,0.3835127895159872
