dataset,alpha,group,point,lower,upper,true_mean,penalized_mean,covers_true_mean,covers_penalized_mean
0,0.0,0,0.14480374445744815,-0.06081616838848851,0.32016460898801974,0.2,0.2,true,true
0,0.0,1,1.0076276607408747,0.8606751644082378,1.1536304191672997,1.0,1.0,true,true
0,0.01,0,0.1616206236601,-0.04195274916553564,0.33159025134648207,0.2,0.2153846153846154,true,true
0,0.01,1,0.9912533309909243,0.8484995239919695,1.133335566606003,1.0,0.9846153846153847,true,true
0,0.3,0,0.38327617000208347,0.23094277602134075,0.4950718016792321,0.2,0.4181818181818182,false,true
0,0.3,1,0.7754308253421507,0.6646668211738683,0.8886244350112925,1.0,0.7818181818181817,false,true
1,0.0,0,0.30405498823006094,0.1452293071198625,0.5064189808462874,0.2,0.2,true,true
1,0.0,1,0.9454949596856561,0.826227054803696,1.067155202642066,1.0,1.0,true,true
1,0.01,0,0.31639037229651473,0.15966736709647833,0.5155465717453291,0.2,0.2153846153846154,true,true
1,0.01,1,0.9331595756192024,0.8154691722595945,1.0516740936040732,1.0,0.9846153846153847,true,true
1,0.3,0,0.47899316226340494,0.3492428770357846,0.6388879362440206,0.2,0.4181818181818182,false,true
1,0.3,1,0.7705567856523119,0.6766766856847618,0.8820224727263586,1.0,0.7818181818181817,false,true
2,0.0,0,0.018067854085859092,-0.16132446805930006,0.19694035036043597,0.2,0.2,false,false
2,0.0,1,0.9763199534981924,0.8364390569753354,1.16406632715331,1.0,1.0,true,true
2,0.01,0,0.03481400727947276,-0.14091191359237473,0.209516036551041,0.2,0.2153846153846154,true,false
2,0.01,1,0.9558524329282201,0.8183638784338109,1.1421798399971057,1.0,0.9846153846153847,true,true
2,0.3,0,0.25434919366698233,0.12702111279568687,0.3854008405285529,0.2,0.4181818181818182,true,false
2,0.3,1,0.6875316495657084,0.5830567240088003,0.8493912647476306,1.0,0.7818181818181817,false,true
3,0.0,0,0.217394421704117,0.07643844820430688,0.38764914524296334,0.2,0.2,true,true
3,0.0,1,1.1201201856486178,0.9406759034318838,1.2777659583952263,1.0,1.0,true,true
3,0.01,0,0.2349890083154476,0.09563876955850206,0.40133735648004376,0.2,0.2153846153846154,true,true
3,0.01,1,1.1029886144744274,0.9258621493412121,1.257903180925239,1.0,0.9846153846153847,true,true
3,0.3,0,0.4668951581426326,0.35105825746018987,0.5843071865270113,0.2,0.4181818181818182,false,true
3,0.3,1,0.8771852580637474,0.7415584056755441,1.0037333432355262,1.0,0.7818181818181817,true,true
4,0.0,0,0.3186535526837378,0.17083775755384056,0.4717844440878802,0.2,0.2,true,true
4,0.0,1,0.9584701006341099,0.719266962048862,1.1056920208283827,1.0,1.0,true,true
4,0.01,0,0.3296996693654997,0.1803348740387701,0.4802047149387801,0.2,0.2153846153846154,true,true
