alpha,group,datasets,true_mean_coverage,penalized_mean_coverage,mean_bias,mean_width
0.0,0,100,0.94,0.94,0.001628185241876951,0.3097444385116653
0.0,1,100,0.95,0.95,0.001501973893439713,0.30943488616407033
0.01,0,100,0.93,0.94,0.017105852361063757,0.30391465210175445
0.01,1,100,0.95,0.95,-0.013875430449689766,0.3032303137647048
0.3,0,100,0.06,0.91,0.22078380048529836,0.24470389835152992
0.3,1,100,0.1,0.92,-0.21624303715085447,0.2423009511616167
