candidate,status,converged,eligible,rows,weight,actual,expected,ae_ratio,mean_loss,error,loss_difference_lower,loss_difference_upper
peril_models,scored,true,true,1500,1125.5180564744287,931353.5478324175,1060714.4039819618,0.8780436508979997,141.06461789397068,,0.0,0.0
intercept_baseline,scored,true,true,1500,1125.5180564744287,931353.5478324175,1065365.1655128503,0.8742106255971663,141.93036061829724,,-0.3173044968012257,1.7923757863270853
