candidate,status,converged,training_status,declared_training_status,eligible,rows,weight,actual,expected,ae_ratio,mean_loss,error,gini,normalized_gini,discrimination_status,loss_difference_lower,loss_difference_upper
frequency_severity,scored,true,converged,,true,169504,89725.25415001123,19291839.89,13510807.488532562,1.4278820793186602,87.61733819189004,,0.5102344964319717,0.5157078817696451,available,0.0,0.0
tweedie,scored,true,converged,,true,169504,89725.25415001123,19291839.89,13597670.94976523,1.418760606965054,87.79046365948496,,0.5089903279285992,0.5144503668271518,available,0.021497274870472663,0.38351269102820557
glum_tweedie,scored,true,converged,,true,169504,89725.25415001123,19291839.89,13597670.941689245,1.4187606078076902,87.79046371267488,,0.5089903279285992,0.5144503668271518,available,0.021497296528850816,0.3835127770135445
booster_frequency_glm_severity,scored,,completed,completed,true,169504,89725.25415001123,19291839.89,13475956.401981138,1.4315748221895297,85.04086159458087,,0.5167793587206078,0.522322952077414,available,-6.4334078263831325,-0.7796611587089504
