candidate,status,converged,eligible,rows,weight,actual,expected,ae_ratio,mean_loss,error,loss_difference_lower,loss_difference_upper
frequency_severity,scored,true,true,169504,89725.25415001123,19291839.89,13552155.295610031,1.4235255919956313,89.5089060095556,,0.0,0.0
tweedie,scored,true,true,169504,89725.25415001123,19291839.89,13558888.175007896,1.422818717950579,89.87305767778308,,-0.1774292198792354,1.4305374695225233
glum_tweedie,scored,true,true,169504,89725.25415001123,19291839.89,13558888.175141254,1.422818717936585,89.87305767751856,,-0.17742922003301395,1.4305374687390577
