bonus,Rating_Factor,Coefficient,Standard_Error,Status,Relativity,Interval_Standard_Error,Coefficient_Lower,Coefficient_Upper,Interval_Status,Relativity_Lower,Relativity_Upper
50.0,0.0,0.0,0.0,reference,1.0,0.0,0.0,0.0,fixed,1.0,1.0
64.0,0.5518477853816608,0.5518477853816608,0.0853223726846474,estimated,1.7364586582121264,0.0853223726846474,0.38461900784424785,0.7190765629190737,wald,1.4690545165600999,2.052536946511951
230.0,2.808695998183758,2.808695998183758,2.0818611091181127,estimated,16.58827297105012,2.0818611091181127,-1.2716767965023532,6.889068792869869,wald,0.28036111887628257,981.4870238247947
