alpha,group,datasets,true_mean_coverage,penalized_mean_coverage,mean_bias,mean_width
0.0,0,100,0.95,0.95,0.001628185241876951,0.3086263406238756
0.0,1,100,0.9,0.9,0.001501973893439713,0.3091884984258083
0.01,0,100,0.92,0.94,0.017105852361063757,0.3025086617512796
0.01,1,100,0.91,0.89,-0.013875430449689766,0.3034153634366819
0.3,0,100,0.1,0.91,0.22078380048529836,0.24411949834833416
0.3,1,100,0.1,0.91,-0.21624303715085447,0.24421785821737552
