dataset,alpha,group,point,lower,upper,true_mean,penalized_mean,covers_true_mean,covers_penalized_mean
0,0.0,0,0.14480374445744815,-0.03733114418942973,0.3031208802558851,0.2,0.2,true,true
0,0.0,1,1.0076276607408747,0.869999851040921,1.1469074200915026,1.0,1.0,true,true
0,0.01,0,0.1616206236601,-0.01767894805470898,0.3176634185540325,0.2,0.2153846153846154,true,true
0,0.01,1,0.9912533309909243,0.8538974347420999,1.1284801496854715,1.0,0.9846153846153847,true,true
0,0.3,0,0.38327617000208347,0.2380389179824202,0.5020426116603784,0.2,0.4181818181818182,false,true
0,0.3,1,0.7754308253421507,0.6565793340679268,0.8743769837243456,1.0,0.7818181818181817,false,true
1,0.0,0,0.30405498823006094,0.12799787684629924,0.5044924027118532,0.2,0.2,true,true
1,0.0,1,0.9454949596856561,0.7949196746513931,1.1124309825255447,1.0,1.0,true,true
1,0.01,0,0.31639037229651473,0.14428624793742184,0.5112373535219541,0.2,0.2153846153846154,true,true
1,0.01,1,0.9331595756192024,0.7846123138355192,1.0962840400760676,1.0,0.9846153846153847,true,true
1,0.3,0,0.47899316226340494,0.3480210443478845,0.624769390618336,0.2,0.4181818181818182,false,true
1,0.3,1,0.7705567856523119,0.6366954946290658,0.904774899499061,1.0,0.7818181818181817,false,true
2,0.0,0,0.018067854085859092,-0.15022184244557166,0.18076604708638982,0.2,0.2,false,false
2,0.0,1,0.9763199534981924,0.8089595443382364,1.1116497179298244,1.0,1.0,true,true
2,0.01,0,0.03481400727947276,-0.12950535044172837,0.1947219390187051,0.2,0.2153846153846154,false,false
2,0.01,1,0.9558524329282201,0.7933403868755046,1.0894456124285317,1.0,0.9846153846153847,true,true
2,0.3,0,0.25434919366698233,0.1285136453378178,0.3786438337466355,0.2,0.4181818181818182,true,false
2,0.3,1,0.6875316495657084,0.5658155589491887,0.7891862537008004,1.0,0.7818181818181817,false,true
3,0.0,0,0.217394421704117,0.09817111206229598,0.37098725459296594,0.2,0.2,true,true
3,0.0,1,1.1201201856486178,0.9705060453120541,1.3053107792017045,1.0,1.0,true,true
3,0.01,0,0.2349890083154476,0.11724173454048176,0.38617907609197294,0.2,0.2153846153846154,true,true
3,0.01,1,1.1029886144744274,0.9546166299544225,1.2844306076675616,1.0,0.9846153846153847,true,true
3,0.3,0,0.4668951581426326,0.3666753965969962,0.594802141588698,0.2,0.4181818181818182,false,true
3,0.3,1,0.8771852580637474,0.7485129583558477,1.0302933750006618,1.0,0.7818181818181817,true,true
4,0.0,0,0.3186535526837378,0.19671217333360838,0.4434140637397257,0.2,0.2,true,true
4,0.0,1,0.9584701006341099,0.7494677747405044,1.1192430531320539,1.0,1.0,true,true
4,0.01,0,0.3296996693654997,0.20966552193639554,0.45357506759055694,0.2,0.2153846153846154,false,true
4,0.01,1,0.9446001646502433,0.742950378345252,1.1004088745093366,1.0,0.9846153846153847,true,true
4,0.3,0,0.47428144236218267,0.3608550654312134,0.5849553472081086,0.2,0.4181818181818182,false,true
4,0.3,1,0.7630576376544083,0.6233835473648109,0.8969366159514018,1.0,0.7818181818181817,false,true
5,0.0,0,0.21933750585230283,0.09908197185407026,0.3432583874502354,0.2,0.2,true,true
5,0.0,1,0.9361247038821175,0.7844294934768018,1.0689911457125905,1.0,1.0,true,true
5,0.01,0,0.23267664729157422,0.11385610149015729,0.354445618675631,0.2,0.2153846153846154,true,true
5,0.01,1,0.9218656216539308,0.7720898099502378,1.0525338362149568,1.0,0.9846153846153847,true,true
5,0.3,0,0.4084041644533959,0.31770594498588806,0.5115847660014466,0.2,0.4181818181818182,false,true
