model,ae,mean_tweedie_deviance
frequency_severity,0.9680317117681255,81.79551782440434
tweedie,0.941556361230633,82.06856388609422
glum_tweedie,0.9415563662164498,82.06856386651086
booster_frequency_glm_severity,0.9777575466178731,81.7715857858813
