candidate,status,converged,eligible,rows,weight,actual,expected,ae_ratio,mean_loss,error,gini,normalized_gini,discrimination_status,loss_difference_lower,loss_difference_upper
frequency_severity,scored,true,true,169504,89725.25415001123,19291839.89,13552155.295610031,1.4235255919956313,89.5089060095556,,0.48171451762517914,0.4868819635665144,available,0.0,0.0
tweedie,scored,true,true,169504,89725.25415001123,19291839.89,13558888.175191613,1.4228187179313005,89.87305767802971,,0.48828270990416056,0.4935206141300027,available,-0.17742921989403476,1.4305374701290465
glum_tweedie,scored,true,true,169504,89725.25415001123,19291839.89,13558888.175141253,1.422818717936585,89.87305767751856,,0.48828270990416056,0.4935206141300027,available,-0.17742922003301542,1.430537468739057
