candidate,status,converged,training_status,declared_training_status,eligible,rows,weight,actual,expected,ae_ratio,mean_loss,error,gini,normalized_gini,discrimination_status,loss_difference_lower,loss_difference_upper
frequency_times_severity,scored,true,converged,,true,1000,629.2125877602429,394620.4963961546,417969.374122232,0.944137347921455,130.97057880497894,,0.07695462583165895,0.08382982409876638,available,0.0,0.0
tweedie,scored,true,converged,,true,1000,629.2125877602429,394620.4963961546,417979.6419805586,0.9441141547618951,130.9765671520063,,0.07695462583165895,0.08382982409876638,available,-0.01374619170111163,0.035270959886799444
selected_tweedie,scored,true,converged,,true,1000,629.2125877602429,394620.4963961546,417954.2550541565,0.9441715011252165,130.96605640903724,,0.07695462583165895,0.08382982409876638,available,-0.028805032697542723,0.019875752373764308
