level,rows,weight,old,new,change,relative_change
north,527,333.91306438741503,840.4145113488042,542.0973833572388,-298.3171279915655,-0.35496427532264785
south,473,295.2995233728278,2557.5556908562685,2809.710408418748,252.15471756247962,0.09859207307351275
