group,rows,counts,expected,unpooled_relativity,credibility_weight,posterior_shape,posterior_rate,relativity,posterior_sd,relativity_lower,relativity_upper,status
territory_00000,2,0.0,0.2417665555914167,0.0,0.1078464459148979,2.0,2.2417665555914166,0.8921535540851021,0.630847827953255,0.10804393434269345,2.4853807266604537,posterior
territory_00001,2,0.0,0.9618778928820066,0.0,0.32475271691435836,2.0,2.961877892882007,0.6752472830856415,0.4774719328476495,0.0817755786374729,1.8811185310267808,posterior
territory_00002,2,2.0,1.2065956214691533,1.6575561558600684,0.37628555761463056,4.0,3.2065956214691536,1.2474288847707387,0.6237144423853693,0.33988238689323275,2.7341374169672994,posterior
territory_00003,2,0.0,0.04869817864479573,0.0,0.02377030406548677,2.0,2.0486981786447958,0.9762296959345133,0.6902986379909757,0.11822594517274643,2.7196018666959105,posterior
territory_00004,2,0.0,0.10243653594033897,0.0,0.048722771978714226,2.0,2.102436535940339,0.9512772280212857,0.6726545787221928,0.11520408554716928,2.6500887402277358,posterior
territory_00005,2,8.0,5.627647827684463,1.4215530617685541,0.7377959699789728,10.0,7.627647827684463,1.3110201501051362,0.4145809732708068,0.6286851208216016,2.2398521585396303,posterior
territory_00006,2,0.0,0.05104425470281304,0.0,0.024886959209083043,2.0,2.051044254702813,0.9751130407909169,0.689509043566692,0.11809071305438998,2.7164910645705223,posterior
territory_00007,2,19.0,28.312317933101024,0.6710859932024982,0.9340202222603372,21.0,30.312317933101024,0.6927876662664593,0.15117866291418353,0.4288464845468293,1.0190041543785906,posterior
territory_00008,2,0.0,0.08437764818507473,0.0,0.040480979182704574,2.0,2.084377648185075,0.9595190208172953,0.6784824062973857,0.11620220489068445,2.6730489054084234,posterior
territory_00009,2,0.0,0.0824218731795549,0.0,0.039579815329978604,2.0,2.082421873179555,0.9604201846700213,0.6791196253686084,0.11631134001399378,2.6755593872205203,posterior
territory_00010,2,0.0,0.6039382270391853,0.0,0.23193262450234653,2.0,2.603938227039185,0.7680673754976536,0.5431056496225452,0.09301652244622169,2.139698758243643,posterior
territory_00011,2,6.0,11.580372441787036,0.5181180510524327,0.8527286340214083,8.0,13.580372441787036,0.5890854639143669,0.20827316311613606,0.25432529126528236,1.0620235507918443,posterior
