candidate,status,converged,eligible,rows,weight,actual,expected,ae_ratio,mean_loss,error,loss_difference_lower,loss_difference_upper
frequency_severity,scored,true,true,169504,89725.25415001123,19291839.89,13510807.488532562,1.4278820793186602,87.61733819189004,,0.0,0.0
tweedie,scored,true,true,169504,89725.25415001123,19291839.89,13597670.94976523,1.418760606965054,87.79046365948496,,0.021497274870472663,0.38351269102820557
glum_tweedie,scored,true,true,169504,89725.25415001123,19291839.89,13597670.94168925,1.4187606078076898,87.79046371267486,,0.0214972965288502,0.38351277701352693
