candidate,status,converged,training_status,declared_training_status,eligible,rows,weight,actual,expected,ae_ratio,mean_loss,error,gini,normalized_gini,discrimination_status,loss_difference_lower,loss_difference_upper
glm,scored,true,converged,,true,1000,629.2125877602429,3365.0,3348.618275977972,1.0048920846366831,0.6910549587413634,,0.3781177660712559,0.8088844478967989,available,0.0,0.0
booster,scored,,completed,completed,true,1000,629.2125877602429,3365.0,3383.310150256468,0.9945880958459926,0.8000114181095783,,0.37569356471163834,0.8036985006752779,available,0.08984520426277791,0.13328563954389858
booster_structure_glm,scored,true,converged,,true,1000,629.2125877602429,3365.0,3354.695127842598,1.0030717760525765,0.6953207218133718,,0.37535341095193053,0.8029708303280735,available,-0.0007429054027985054,0.014976236926617412
