level,rows,weight,old,new,change,relative_change
north,527,333.91306438741503,720.0288797150816,542.2952897524107,-177.73358996267098,-0.24684230725995446
south,473,295.2995233728278,2663.2812705413867,2812.399838090187,149.11856754880046,0.05599054414500047
